num_nodes,num_colors,edge_prob,num_samples,Algorithm,SHD,CHD,CSHD
4,2,0.4,1000,Greedy,6.0,1.0,6.0
4,2,0.4,1000,GES,3.0,,
4,2,0.4,500,Greedy,0.0,0.0,0.0
4,2,0.4,500,GES,3.0,,
4,2,0.4,100,Greedy,2.0,2.0,2.0
4,2,0.4,100,GES,3.0,,
4,2,0.2,1000,Greedy,0.0,0.0,0.0
4,2,0.2,1000,GES,2.0,,
4,2,0.2,500,Greedy,0.0,0.0,0.0
4,2,0.2,500,GES,2.0,,
4,2,0.2,100,Greedy,0.0,0.0,0.0
4,2,0.2,100,GES,2.0,,
4,2,0.2,1000,Greedy,0.0,0.0,0.0
4,2,0.2,1000,GES,0.0,,
4,2,0.2,500,Greedy,0.0,0.0,0.0
4,2,0.2,500,GES,0.0,,
4,2,0.2,100,Greedy,0.0,0.0,0.0
4,2,0.2,100,GES,0.0,,
20,10,0.8,1000,Greedy,167.0,16.0,220.0
20,10,0.8,1000,GES,213.0,,
20,10,0.8,500,Greedy,163.0,16.0,207.0
20,10,0.8,500,GES,182.0,,
20,10,0.8,100,Greedy,148.0,15.0,175.0
20,10,0.8,100,GES,162.0,,
20,2,0.8,1000,Greedy,149.0,16.0,216.0
20,2,0.8,1000,GES,179.0,,
20,2,0.8,500,Greedy,139.0,16.0,202.0
20,2,0.8,500,GES,140.0,,
20,2,0.8,100,Greedy,166.0,12.0,190.0
20,2,0.8,100,GES,169.0,,
20,10,0.6,1000,Greedy,169.0,14.0,190.0
20,10,0.6,1000,GES,163.0,,
